ISO-CODE-GEOGRAPHIC-UNIT;GEOGRAPHIC-NAME;ISO-CODE-PROVINCE;PROVINCE-NAME;LATITUDE;LONGITUDE;DISTRICT-NAME;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91443;-3.31947;Kabupaten Muara Enim;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91444;-3.31948;Kabupaten Musi Banyuasin;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91445;-3.31949;Kabupaten Musi Rawas;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91446;-3.31950;Kabupaten Ogan Ilir;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91447;-3.31951;Kabupaten Ogan Komering Ilir;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91448;-3.31952;Kabupaten Ogan Komering Ulu;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91449;-3.31953;Kabupaten Ogan Komering Ulu Selatan;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91450;-3.31954;Kabupaten Ogan Komering Ulu Timur;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91451;-3.31955;Kota Lubuklinggau;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91452;-3.31956;Kota Pagar Alam;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91453;-3.31957;Kota Palembang;;;
ID-SM;Sumatera;ID-SS;Sumatera Selatan;103.91454;-3.31958;Kota Prabumulih;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80001;-0.73994;Kabupaten Agam;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80002;-0.73995;Kabupaten Dharmasraya;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80003;-0.73996;Kabupaten Kepulauan Mentawai;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80004;-0.73997;Kabupaten Lima Puluh Kota;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80005;-0.73998;Kabupaten Padang Pariaman;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80006;-0.73999;Kabupaten Pasaman;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80007;-0.74000;Kabupaten Pasaman Barat;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80008;-0.74001;Kabupaten Pesisir Selatan;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80009;-0.74002;Kabupaten Sijunjung;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80010;-0.74003;Kabupaten Solok;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80011;-0.74004;Kabupaten Solok Selatan;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80012;-0.74005;Kabupaten Tanah Datar;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80013;-0.74006;Kota Bukittinggi;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80014;-0.74007;Kota Padang;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80015;-0.74008;Kota Padangpanjang;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80016;-0.74009;Kota Pariaman;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80017;-0.74010;Kota Payakumbuh;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80018;-0.74011;Kota Sawahlunto;;;
ID-SM;Sumatera;ID-SB;Sumatera Barat;100.80019;-0.74012;Kota Solok;;;
ID-SM;Sumatera;ID-RI;Riau;101.70683;0.88683;Kabupaten Bengkalis;;;
ID-SM;Sumatera;ID-RI;Riau;101.70684;0.88684;Kabupaten Indragiri Hilir;;;
ID-SM;Sumatera;ID-RI;Riau;101.70685;0.88685;Kabupaten Indragiri Hulu;;;
ID-SM;Sumatera;ID-RI;Riau;101.70686;0.88686;Kabupaten Kampar;;;
ID-SM;Sumatera;ID-RI;Riau;101.70687;0.88687;Kabupaten Kuantan Singingi;;;
ID-SM;Sumatera;ID-RI;Riau;101.70688;0.88688;Kabupaten Pelalawan;;;
ID-SM;Sumatera;ID-RI;Riau;101.70689;0.88689;Kabupaten Rokan Hilir;;;
ID-SM;Sumatera;ID-RI;Riau;101.70690;0.88690;Kabupaten Rokan Hulu;;;
ID-SM;Sumatera;ID-RI;Riau;101.70691;0.88691;Kabupaten Siak;;;
ID-SM;Sumatera;ID-RI;Riau;101.70692;0.88692;Kabupaten Kepulauan Meranti;;;
ID-SM;Sumatera;ID-RI;Riau;101.70693;0.88693;Kota Dumai;;;
ID-SM;Sumatera;ID-RI;Riau;101.70694;0.88694;Kota Pekanbaru;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43806;-1.48518;Kabupaten Batanghari;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43807;-1.48519;Kabupaten Bungo;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43808;-1.48520;Kabupaten Kerinci;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43809;-1.48521;Kabupaten Merangin;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43810;-1.48522;Kabupaten Muaro Jambi;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43811;-1.48523;Kabupaten Sarolangun;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43812;-1.48524;Kabupaten Tanjung Jabung Barat;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43813;-1.48525;Kabupaten Tanjung Jabung Timur;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43814;-1.48526;Kabupaten Tebo;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43815;-1.48527;Kota Jambi;;;
ID-SM;Sumatera;ID-JA;Jambi;102.43816;-1.48528;Kota Sungai Penuh;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40681;-4.55858;Kabupaten Lampung Barat;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40682;-4.55859;Kabupaten Lampung Selatan;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40683;-4.55860;Kabupaten Lampung Tengah;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40684;-4.55861;Kabupaten Lampung Timur;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40685;-4.55862;Kabupaten Lampung Utara;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40686;-4.55863;Kabupaten Mesuji;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40687;-4.55864;Kabupaten Pesawaran;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40688;-4.55865;Kabupaten Pringsewu;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40689;-4.55866;Kabupaten Tanggamus;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40690;-4.55867;Kabupaten Tulang Bawang;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40691;-4.55868;Kabupaten Tulang Bawang Barat;;;
ID-SM;Sumatera;ID-LA;Lampung;105.40692;-4.55869;Kabupaten Way Kanan;;;
